Employer,Employer Industry,Description,Website,Job Titles,Combined Majors
Whiting-Turner Contracting Company,Construction,"Whiting-Turner provides construction management, general contracting, design-build and integrated project delivery services on projects small and large for a diverse group of customers. We constantly strive to exceed each client’s expectations through innovation, collaboration and best practices.

With over 60 offices nationwide, Whiting-Turner has a strong presence throughout the country. More importantly, we recognize the value in community involvement and the benefits of strong local subcontractor relationships. We pride ourselves on familiarity with our local communities and our ability to give our clients the attention of a small business with the resources of a national corporation.
",http://www.whiting-turner.com,"Engineering Intern, Field Engineer",
Kiewit,Construction,"Kiewit is one of North America’s largest and most respected construction and engineering organizations. With its roots dating back to 1884, the employee-owned organization operates through a network of subsidiaries in the United States, Canada, and Mexico. Kiewit offers construction and engineering services in a variety of markets including transportation; oil, gas and chemical; power; building; water/wastewater; industrial; and mining. Kiewit had 2021 revenues of $12.1 billion and employs 28,800 staff and craft employees. Kiewit is ranked #3 in ENR’s list of Top 400 Contractors. ",https://kiewitcareers.kiewit.com/,"Entry Level Field/Office Engineers, Interns, Civil Engineer, Mechanical Engineer, Electrical Engineer, Construction Engineer, Industrial Engineer","Chemical Engineering, Civil Engineering, Computational Hydroscience, Electrical Engineering, Engineering, Engineering Non-Degree, Engineering Science, Engineering Undecided, Environmental Engineering, General Engineering, Major - Mechanical Engineering, Manufacturing, Materials, Materials Science and Engr., Math for School of Engineering, Mechanical Engineering"
Alpek Polyester,Manufacturing,"Alpek Polyester's global multicultural organization combines the expertise of entities including DAK Americas, Selenis Canada, and Octal as a world leader in the production of Specialty Polymers, PET Container Resins, and Polyester Staple Fibers supplying a diverse range of industries including bottling, food packaging, and textiles. 

Represented by the expertise of over 4,000 employees from 25 operational sites across 9 countries, we offer sustainable manufacturing solutions to our customers and communities through our GreenPET division (recycled and renewable raw materials) processing over 12 billion plastic bottles annually.

Domestically we employ over 1,300 employees across 6 operational sites. 

",https://www.jobs.net/jobs/dakamericas/en-us/search/United-States/,None,"Chemical Engineering, Electrical Engineering, Major - Mechanical Engineering, Mechanical Engineering"
Stantec,Design,"The Stantec community unites approximately 26,000 employees working in over 400 locations across six continents, including 250 US offices across 48 states. 

We collaborate across disciplines and industries to bring buildings, energy and resource, environmental, and infrastructure projects to life. Our work—engineering, architecture, interior design, landscape architecture, surveying, environmental sciences, project management, and project economics, from initial project concept and planning through design, construction, and commissioning—begins at the intersection of community, creativity, and client relationships.",https://www.stantec.com/en/careers/students-graduates/campus-recruitment,None,"Chemical Engineering, Civil Engineering, Computational Hydroscience, Electrical Engineering, Environmental Engineering, Environmental Studies, Geological Engineering, Geological Entineering, Geology, Major - Mechanical Engineering, Mechanical Engineering"
Yates Engineers and Construction,Construction,"Ranked among the top engineering construction services providers in the country by Engineering News Record, Yates Construction is family owned and provides a wide range of construction and building services. Founded in 1964 by William G. Yates Jr., we have steadily grown to become one of the top construction providers in the nation. We are financially sound with a significant bonding capacity as well as vast personnel and equipment resources.  Our portfolio includes projects from various sectors including arts and culture, civil, commercial, education, entertainment and gaming, federal, healthcare, hospitality, manufacturing, municipal, retail, and technology. 
",http://www.wgyates.com/,Full time Engineers and Summer Interns,"Chemical Engineering, Civil Engineering, Computational Hydroscience, Electrical Engineering, Environmental Engineering, Major - Mechanical Engineering, Manufacturing, Mechanical Engineering"
Daifuku America Corporation,Automotive,Daifuku America Corporation is the world leader in material handling.  Daifuku’s Automotive division is responsible for manufacturing the conveyor systems used by many of the largest automotive manufacturers across the globe.  Our Automotive division is currently seeking skilled Mechanical and Electrical Engineers to join our team.   ,https://www.daifuku.com/,"Mechanical Engineer, Technical Service Engineer ","Civil Engineering, Electrical Engineering, Major - Mechanical Engineering, Manufacturing, Materials, Materials Science and Engr., Mechanical Engineering"
Parker Hannifin Corporation,Manufacturing,"Parker Hannifin is a Fortune 250 global leader in motion and control technologies.

Across a wide range of mobile, industrial and aerospace markets, for more than a century Parker has been enabling engineering breakthroughs that lead to a better tomorrow. 

Parker operates in 49 countries and employs more than 50,000 people worldwide. Learn more at www.parker.com or @parkerhannifin.",http://www.parker.com,Engineering Intern,"Aeroacoustics, Chemical Engineering, Civil Engineering, Computational Hydroscience, Computer Engineering, Electrical Engineering, Engineering, Engineering Non-Degree, Engineering Science, Engineering Undecided, Environmental Engineering, General Engineering, Major - Mechanical Engineering, Manufacturing, Materials, Materials Science and Engr., Math for School of Engineering, Mechanical Engineering"
The State Group,Construction,"The State Group is one of North America’s leading multi-trade Industrial and Specialty Services contractors.  Established in 1961, we provide comprehensive multi-trade services that include Electrical, Mechanical and Civil on a single source basis.  State Group performs over 4 million man-hours annually of Construction, Retrofit, Maintenance, and Emergency Services. State Group employs 2,500+  construction professionals and support staff to complete projects with the highest safety and quality standards. State Group also has a computerized Tooling and Equipment Warehouse containing a broad spectrum of specialized tooling and rolling stock equipment to productively support its skilled workforce.",https://www.stategroup.com,"Construction Manager, Project Manager, Project Coordinator ","Civil Engineering, Electrical Engineering, Manufacturing"
Engineering Consulting Services (ECS),Civil Engineering,"With over 70 offices across the US, Engineering Consulting Services (ECS) thrives when allowed to roll up our sleeves and assist companies in finding solutions to their most demanding projects. We are a leader in geotechnical, construction materials, environmental and facilities services. Through training and hands-on experience, our intern program places you in a position of responsibility, builds your skills outside the classroom, and cultivates life-long industry connections.

https://youtu.be/CD8KhvQegVc
",http://www.ecslimited.com,None,"Civil Engineering, Computational Hydroscience, Environmental Engineering"
Urban Design Partners,Civil Engineering,"Urban Design Partners is a site development design firm focused on landscape architecture, civil engineering, and site design.  Our passion is partnering with innovative clients to translate their vision into reality.  We are a dedicated and collaborative group who work closely with architects, developers, and real estate professionals. Our goal is to provide our clients with quality plans that in turn become memorable places people are able to experience every day.",https://urbandesignpartners.com/,"Civil Designers, Civil Interns","Civil Engineering, Computational Hydroscience, Environmental Engineering"
Sonepar USA,Other Industries,"Sonepar Training for Emerging Professionals (STEP) is a dynamic, intensive (12-month) rotational program designed to educate, train and develop skills in emerging professionals and help establish your career. You will get hands-on experience in every aspect of our business in addition to e-learning, subject matter expert training, and travel to select business locations across the US. As you rotate through different functions, you will get exposure to site and corporate operations, sales strategies, processes, procurement, project management, e-commerce, and our business philosophy at Sonepar.

",http://www.sonepar-us.com,Sonepar Training for Emerging Professionals Program,
Unified Brands,Manufacturing,"Who We Are

Unified Brands takes great pride in being part of an industry where people throughout the world and throughout history gather to celebrate and remember. It is an industry built around individuals and relationships. And it is these relationships that uniquely distinguish us among food equipment companies in our industry.

",http://www.unifiedbrands.net,None,
ASSET Engineering,Scientific and Technical Consulting,"Established in 2000, ASSET Engineering is a consulting firm recognized as a specialist in power system design and analysis. Our team is anchored by veteran power system design leaders and a growing team of control system professional engineers. We provide our clients decades of experience in specialized electrical engineering design, protection and control systems, and project management services. Our clients include utility companies, independent power producers, and large industrial and institutional power users. Over 100 clients have relied on ASSET Engineering for optimized electrical designs that have stood the test of time.",http://www.assetcompany.com,Graduate Engineer,"Civil Engineering, Computational Hydroscience, Electrical Engineering, Environmental Engineering"
U.S. Army Corps of Engineers - Nashville District,Defense,"The U.S. Army Corps of Engineers has played a vital role in the development and growth of the nation in peace and in war. For more than 200 years, the Corps has supported the nation’s river-based commerce, protected established population centers, provided disaster response and constructed military facilities to protect our shores. Today, the 750 civilians and U.S. Army officers of the Nashville District continue to serve the region, the Corps, and the Nation by providing collaborative water resource engineering solutions, world class public infrastructure management, and environmental stewardship for the Cumberland-Tennessee River Systems.",http://www.lrn.usace.army.mil/,"Engineer - Civil, Mechanical and Electrical, Engineering Tech, Student Intern, various roles in the Engineering and Construction division.",
"Ergon, Inc.",Oil & Gas,"Ergon, Inc. is a privately held company headquartered in Jackson, Mississippi.   With over 2,000 employees across the globe, Ergon operates under five primary business segments:  Refining & Marketing, Asphalt & Emulsions, Transportation & Terminaling, Oil and Gas, and Real Estate.  Ergon owns and operates two petroleum refineries located in Mississippi and West Virginia, producing gasoline, low sulfur diesel, lubricant and process base oils, asphalts and other specialty products.  Ergon also produces, markets, and/or distributes paving asphalt, asphalt emulsions, specialty coatings, sealants, and other road construction and maintenance products from over thirty owned or leased asphalt and emulsions plants across the United States.",http://www.ergon.com,Process Engineering Co-op Student,Chemical Engineering
J.M. Smucker Company,Food & Beverage,"Inspired by more than 120 years of business success and five generations of family leadership, we make food that people and pets love. Our portfolio of 40+ brands, which are found in 90 percent of U.S. homes and countless restaurants, include iconic products you’ve always loved such as Folgers®, Jif®, and Milk-Bone® plus new favorites like Café Bustelo®, and  Smucker’s® Uncrustables®. Over the past 15 years, we’ve grown rapidly by thoughtfully acquiring leading and emerging brands, while ensuring we have a positive impact on our more than 7,000 employees, our communities, and the planet.

",http://www.jmsmucker.com/,None,"Aeroacoustics, Chemical Engineering, Civil Engineering, Computational Hydroscience, Computer Engineering, Electrical Engineering, Engineering, Engineering Non-Degree, Engineering Science, Engineering Undecided, Environmental Engineering, General Engineering, Major - Mechanical Engineering, Manufacturing, Materials, Materials Science and Engr., Math for School of Engineering, Mechanical Engineering"
Engineered Corrosion Solutions,Manufacturing,"Engineered Corrosion Solutions, LLC is a corrosion engineering and manufacturing firm specializing in helping    clients understand and manage risk associated with leaking fire sprinkler systems. Since 2003 ECS has pioneered the research of corrosion in fire sprinkler systems. Corrosion in fire sprinkler systems leads to water damage, plug-ging problems, reduced hydraulic performance, and reduced service life. It's our commitment to reduce risk by  defining and understanding the root causes of corrosion in fire sprinkler systems.",http://www.ecscorrosion.com,"Account Manager, Inside Sales Representative, Project Manager, Product Engineer, Production Engineer",
Cives Steel Company,Manufacturing,"Cives, an employee owned company,  is one of the largest and most successful structural steel and plate fabricators in North America. This success comes from our ability to transform complex designs into magnificent structures of both lasting beauty and  structural integrity, time and again.
Our quality is born out of our commitment to   teamwork, integrity, expertise, and the financial strength to grow with the needs of our customers.
",http://www.cives.com,Project Engineer Trainee,
"HDR, Inc.",Design,"Consistently ranked among Engineering News-Record Top 500 Design Firms, HDR has over 11,500 employees in 200+ locations around the globe, and projects in 60 countries. HDR specializes in multi-disciplinary teams including engineering, architecture, environmental and construction services. We believe diversity is our greatest strength and we are proud to be an equal opportunity workplace and an affirmative action employer. 
",https://www.hdrinc.com,Multiple Entry Level positions available!,"Civil Engineering, Computational Hydroscience, Electrical Engineering, Environmental Engineering, Major - Mechanical Engineering, Mechanical Engineering"
Turner Construction Company,Construction,"Turner is a North America-based, international construction services company and is a leading builder in diverse and numerous market segments. The company has earned recognition for undertaking large, complex projects, fostering innovation, embracing emerging technologies, and making a difference for their clients, employees and community. 

OUR VISION 
To be the highest value provider of global construction services and technical expertise. 
Ready to join? Check out Turner Careers at https://join.turnerconstruction.com/ !

Turner is an Equal Opportunity Employer — minorities/females/veterans/individuals with disabilities/sexual orientation/gender identity. VEVRAA Federal Contractor
    ",https://www.turnerconstruction.com/careers,"Engineering Assistant, Assistant Engineer, Field Engineer, Intern, Co-Op","Civil Engineering, Computational Hydroscience, Environmental Engineering, Major - Mechanical Engineering, Manufacturing, Mechanical Engineering"
Smithers Engineers + Consultants,Civil Engineering,"Smithers  Engineers  +  Consultants  is  a  consulting  engineering  firm  located  in  Flowood,  MS.    We  provide  civil  and  structural  engineering  services  on  a  variety  of  project  types,  mainly  centered  around  buildings. ",https://smithersengineers.com/,Graduate Engineer; Engineering Intern,"Civil Engineering, Computational Hydroscience, Environmental Engineering"
Baxter,Medical Devices,"You want a career that matters. 

At Baxter, we are connected with our coworkers around the world by an enduring commitment to save and sustain lives. This higher purpose unites us as a company in doing work that touches millions of lives every day. Patients and caregivers rely on Baxter’s leading portfolio of critical care, nutrition, renal, hospital and surgical products.  

Our culture promotes speed, simplicity, collaboration and courage, and fosters personal growth.  If you're someone who challenges the status quo and respect differences, you'll thrive here.  

Join us at the intersection where medical breakthroughs meet the health care providers who make it happen.
",https://jobs.baxter.com,Process Engineer I - Engineering Co-op,
AFRY USA LLC,Engineering & Construction,"AFRY is a leader in engineering, design, and advisory services, with a global reach. We are 19,000 experts in infrastructure, industry, energy, and digitalization.
Present in the USA for over 50 years, we have more than 150 experts and engineers. With offices in Appleton, WI, Birmingham, AL, and New York, NY, and a network of experts in the US and abroad, we provide international, top-level know-how with a local presence.
Our service offerings cover the entire project lifecycle, from corporate strategies to engineering studies, through implementation engineering, construction support, and start-up services.    
Our competences:
Pulp & Paper Industry
Biobased solutions
Chemical Industry
Mining & Metals
Food & Beverage",http://www.AFRY.com,"Analyst, Pulp and Paper Industry , Associate Electrical Engineer, Associate Process Control Engineer , Entry Level Structural Engineer , Jr. Process Engineer ","Chemical Engineering, Civil Engineering, Computational Hydroscience, Electrical Engineering, Environmental Engineering, Major - Mechanical Engineering, Mechanical Engineering"
Southern Teachers Agency,K-12 Education,"Southern Teachers recruits educators for over 750 private K-12 schools in the South from Maryland to Miami to Midland, Texas. Our teacher placement services are always FREE to candidates. 
Soon-to-be college graduates, alumni, and seasoned educators can apply for our job search services. Accepted candidates then meet with a Placement Counselor for an interview, and counselors help candidates assemble their credentials file. Taking this time to know each candidate's background and their personalized search criteria is the key to our success. We recruit teachers for every subject from art to marine biology, as well as coaches, dorm advisors, counselors, admission staff, key administrators, and school leaders. We look forward to meeting you!",http://www.southernteachers.com,2024-25: K-12 Teaching Jobs at Private/Independent Schools,"Acting for Stage and Screen, Air and Space Law, Applied Gerontology, Applied Linguistics, Applied linguistics and TESOL, Arabic, Art, Art History, Biochemistry, Bioinformatics, Biological Science, Biology, BioMedical, Biomedical Engineering, BM Music, Business, Chemical Engineering, Chemistry, Chinese, Choral Conducting, Classical Civilization, Classics, Clinical Laboratory Science, Clinical Mental Health Couns, Clinical Psychology, Communicative Disorders, Computer Science, Concentration - English, Concentration - Instrumental, Concentration - Math, Concentration - Social Studies, Conc - Thematic - Intl Gov & Politics, Corrections, Counselor Education, Creative Writing, Curriculum And Instruction, Documentary Expression, Early Childhood Education, Economics, Ed. D. in Education, Education, Educational Leadership K12, Education Leadership (K-12), Education Specialist in C&I, Edu Leadership (K-12) Online, Elementary Education, Elementary Education Online, Elementry Education, English, English Education, English Education Engl Ed, Entrepreneurship, Environmental Studies, Exercise Science, Experimental Psychology, Fine Arts, Forensic Chemistry, French, German, Health and Kinesiology, Health and Physical Education, History, Homeland Security, Hydrology, IMC Residential Program, Instrumental, Integrated Marketing and Communications, Integrated Marketing Comm, Integrated Marketing Communicat, Integrated Marketing Communications, International Studies, Journalism Broadcast, Journalism News-editorial, Keyboard, Korean, Languages, Latin, Legal Studies, Linguistics, Major - Math Education, Major - Mathematics, Major - Mechanical Engineering, Major - Modern Languages, Major - Music, Major - Philosophy, Major - Physics, Major - Political Science, Major - Psychology, Major - Science Education, Major - Second Language Studies, Major - Social Studies Education, Managerial Finance, Manufacturing, Materials, Materials Science and Engr., Math, Math Education, Mathematics, Math for School of Engineering, Mathmatics, Mechanical Engineering, Medicinal Chemistry, Modern Languages, Music, Music Education, Music Performance, Option - Baritone, Option - Trumpet, Painting, Philosophy, Physics, Play Therapy, Political Science, Printmaking, Psychology, Religious Studies, Rhetoric, Russian, School Counseling, Science, Science Education, Secondary Chemistry Education, Secondary Education, Secondary Education - English, Second Language Studies, Sexuality/Queer Studies, Social Studies, Social Studies Education, Social Work, Southern Studies, Spanis, Spanish, Spec Ed EmD Certificate, Spec Education, Special Education, Specialization - Biology, Specialization - English, Specialization - Health Communication, Specialization - Language Arts/Reading, Specialization - Magazine Publish & Mgmt, Specialization - Math, Specialization - Science/Biology, Specialization - Social Studies, Specialization - Visual Design, Teaching, TESL Certificate, TESOL Certificate, Theatre, Theatre Acting, Track - Computer Language, Track - Foreign Language, Vocal"
Bunge,Agriculture,"Bunge is a world leader in sourcing, processing and supplying oilseed and grain products and ingredients. Founded in 1818, Bunge’s expansive network feeds and fuels a growing world, creating sustainable products and opportunities for more than 70,000 farmers and the consumers they serve across the globe. The company is headquartered in St. Louis, Missouri and has 25,000 employees worldwide who stand behind more than 350 port terminals, oilseed processing plants, grain facilities, and food and ingredient production and packaging facilities around the world.",https://bunge.com/,"Engineering Operations Trainee, Engineering Intern","Chemical Engineering, Civil Engineering, Computational Hydroscience, Electrical Engineering, Environmental Engineering, Major - Mechanical Engineering, Mechanical Engineering"
Solero Technologies,Automotive,"Solero Technologies (formerly BorgWarner North American Controls) is a leading supplier of transmission solenoids, engine solenoids, stop-start accumulators, and hydraulic control modules.

Capabilities include advanced design, prototyping, development and manufacturing combined with a strong portfolio of intellectual property across product categories.",https://solerotechnologies.com/,Engineering Co-Op,
"Pickering Firm, Inc",Civil Engineering,"Our team of 130 employees makes us an ideal size firm-large enough to provide in-depth, in-house services yet small enough to provide the personalized attention necessary to get things done efficiently. With more than 181 registrations in 30 different states, we are able to serve, local, regional and national clients in a variety of market segments, private and public.",http://www.pickeringfirm.com,"Civil Engineer, Field Survey Technician",
International Paper,Manufacturing,"International Paper (NYSE: IP) is a leading global supplier of renewable fiber-based products. We produce corrugated packaging products that protect and promote goods, and enable worldwide commerce, and pulp for diapers, tissue and other personal care products that promote health and wellness. Headquartered in Memphis, Tenn., we employ approximately 38,000 colleagues globally. We serve customers worldwide, with manufacturing operations in North America, Latin America, North Africa and Europe. Net sales for 2022 were $21.2 billion. Additional information can be found by visiting InternationalPaper.com.",https://jobs.internationalpaper.com/go/Early-CareerInternRecent-Graduates-Jobs/8783400/,IT Intern; IT Business Specialist,"Bioinformatics, Chemical Engineering, Computational Hydroscience, Computer Engineering, Computer Science, Electrical Engineering, Engineering, Engineering Non-Degree, Engineering Science, Engineering Undecided, General Engineering, Keyboard, Math for School of Engineering, Mechanical Engineering, MIS, Telecommunications, Track - Computer Language"
Mississippi College Office of Graduate and Professional Studies,Higher Education,"Mississippi College offers over 50 graduate degree programs designed to put you on the path to a promising, brighter, and more stable future. Our students are like you, unique, individual, and driven to embrace their potential. Our dedication to our character, conviction, and credence creates an environment which ensures success. When you hold a degree from Mississippi College, you hold more than a piece of paper. You carry the renowned reputation of Mississippi College, giving you the confidence you need to go out in the world and achieve your goals. Mississippi College has proudly served the Clinton, Jackson, Madison, Brandon and Vicksburg area since 1826.

",https://www.mc.edu/admissions/graduate/,Graduate Students,
"Viking Range, LLC",Manufacturing,High end kitchen appliance manufacturing company located in Mississippi.,http://www.vikingrange.com,Design Engineer; Continuous Improvement Engineer; Cost Engineer; Internships; Co-ops,"Aeroacoustics, Chemical Engineering, Civil Engineering, Computational Hydroscience, Computer Engineering, Electrical Engineering, Engineering, Engineering Non-Degree, Engineering Science, Engineering Undecided, Environmental Engineering, General Engineering, Major - Mechanical Engineering, Manufacturing, Materials, Materials Science and Engr., Math for School of Engineering, Mechanical Engineering"
Ole Miss Business School,Higher Education,"Ranked in the Top 75 according to Bloomberg Businessweek, the Ole Miss Campus MBA Program is a ONE-year program that allows students to earn their MBA in a traditional, classroom setting. Our 36-hour, comprehensive curriculum, is taught by world-renowned faculty and promotes teamwork, networking, and professional development. ",https://business.olemiss.edu/,Graduate Students,"Aeroacoustics, Bioinformatics, Chemical Engineering, Civil Engineering, Computational Hydroscience, Computer Engineering, Computer Science, Electrical Engineering, Engineering, Engineering Non-Degree, Engineering Science, Engineering Undecided, Environmental Engineering, General Engineering, Keyboard, Major - Mechanical Engineering, Manufacturing, Materials, Materials Science and Engr., Math for School of Engineering, Mechanical Engineering, MIS, Telecommunications, Track - Computer Language"
SilMan Industries,Other Industries,"SilMan is a rapidly expanding solutions company with specific expertise in the areas of construction, logistics and site services.  We serve fast growth companies in the industrial, manufacturing and distribution sectors as they expand, relocate or improve their facilities and operations.

Our extensive knowledge base allows us to support every phase of an industrial project, from design to engineering to integration to install.  We assist clients based on our strengths in complementary services like construction and systems, enabling highly efficient oversight and performance in budgeting, scheduling, and delivery, while always ensuring the utmost in quality and safety.

At SilMan, safety is a core value. 

",http://silmanindustries.com/,"Mechanical Engineer, Electrical Engineer, Mechanical or Electrical Intern",
CF Industries,Manufacturing,"At CF Industries, our mission is to provide clean energy to feed and fuel the world sustainably. Our employees are focused on safe and reliable operations, environmental stewardship, and disciplined capital and corporate management. By joining CF, you will be part of a team that brings their varied experiences, wide-ranging knowledge and diverse talents together to deliver important work and you’ll be able to pursue complex, exciting opportunities that help you continue to grow and achieve your potential in different areas.  You’ll take pride in working for a company that lives its values and where you can be yourself at work, as part of an authentic team that encourages you to share your views and opinions.  ",http://www.cfindustries.com,None,"Chemical Engineering, Electrical Engineering, Major - Mechanical Engineering, Mechanical Engineering"
